,experiment,mode,epoch,acc,loss,baseline,sender_entropy,receiver_entropy,n_unseen_shapes,game_size,vocab_size,hidden_size,n_epochs,embedding_size,batch_size,id
0,graph,train,0,0.5,,,,,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
0,graph,test,0,0.5,,,,,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
0,graph,train,1,0.5091064453125,-0.514578399062157,-0.509106484055519,4.08013434410095,0.0179220458492637,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
1,graph,test,1,0.740576171875,0.0104004770517349,-0.509106484055519,4.06400394439697,0.0118652855046093,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
2,graph,train,2,0.5664794921875,-0.501810511946678,-0.53779296875,4.01137335300446,0.00936739426106215,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
3,graph,test,2,0.8167236328125,-0.0938754417002201,-0.53779296875,3.93094282150269,0.00627199835143983,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
4,graph,train,3,0.6492431640625,-0.504713553190231,-0.574943059682846,3.76746339797974,0.00658873417414725,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
5,graph,test,3,0.8152587890625,-0.410699007660151,-0.574943059682846,3.54737901687622,0.00528743909671903,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
6,graph,train,4,0.7381591796875,-0.563959541916847,-0.615747106075287,3.27063813209534,0.00543990347068757,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
7,graph,test,4,0.8569091796875,-0.564365117251873,-0.615747106075287,3.00246443748474,0.0044277855893597,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
8,graph,train,5,0.8045166015625,-0.64950897693634,-0.653500980138779,2.76056840419769,0.00384693604428321,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
9,graph,test,5,0.92021484375,-0.659550336003304,-0.653500980138779,2.51884826421738,0.00263474724488333,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
10,graph,train,6,0.8585693359375,-0.716759783029556,-0.687679040431976,2.30742026567459,0.0031476523145102,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
11,graph,test,6,0.9383056640625,-0.741392284631729,-0.687679040431976,2.14483022689819,0.00248859069251921,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
12,graph,train,7,0.8900146484375,-0.784215933084488,-0.716584146022797,1.98520961999893,0.00253078244859353,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
13,graph,test,7,0.95908203125,-0.800466006994247,-0.716584146022797,1.83484468460083,0.00174239660263993,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
14,graph,train,8,0.909765625,-0.840622186660767,-0.740731763839722,1.70791544318199,0.00200273789232597,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
15,graph,test,8,0.954833984375,-0.856654334068298,-0.740731763839722,1.58958183526993,0.00136898155906238,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
16,graph,train,9,0.92041015625,-0.866128969192505,-0.760696005821228,1.5229817211628,0.00187604431412183,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
17,graph,test,9,0.9603515625,-0.87397563457489,-0.760696005821228,1.4578838467598,0.00119563422340434,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
18,graph,train,10,0.9335205078125,-0.883692109584808,-0.777978456020355,1.41572825908661,0.00170874795876443,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
19,graph,test,10,0.9729736328125,-0.897773742675781,-0.777978456020355,1.36887210011482,0.00116739991353825,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
20,graph,train,11,0.9440185546875,-0.905799549818039,-0.793072980642319,1.31145634651184,0.00151356841670349,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
21,graph,test,11,0.9708740234375,-0.904687529802322,-0.793072980642319,1.24063802957535,0.000955078567494638,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
22,graph,train,12,0.950146484375,-0.919575762748718,-0.806162446737289,1.1767754137516,0.00118653379031457,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
23,graph,test,12,0.9817138671875,-0.925115436315537,-0.806162446737289,1.10809591412544,0.000813714906689711,0,2,60,20,50,50,64,65a137c2-2fc3-496d-81a7-2435839d5700
